uid,nickname,time,star,comment
1426877815,j***。,2020-10-23 18:27:25,1,太#人了，就是这样把买家当傻子啊，昨天秒杀买的，心想秒杀肯定比平时便宜，结果今天一看，秒杀价格和平时价格一模一样，那你上个锤子活动嘛，忽悠买家把买家当傻子一样
1541581311,j***0,2020-10-19 11:52:46,1,不好吃，感觉就是那种坏掉了东西，不可能再买了
-1220171557,j***G,2020-10-05 08:30:11,1,我连货都没收到
1872696662,j***9,2020-10-02 21:47:03,1,不行
-1817697699,j***W,2020-10-02 15:13:25,1,送到驿站为什么没有取货码，而且直接显示签收了
297762290,j***U,2020-10-02 11:37:42,1,还没有开口就碎了，可以看到露出来的薯片客服让我退货，我吃个薯片还要跑几趟，懒的去，保护好一点吧
-1520907405,j***6,2020-10-01 17:33:57,1,自己看图吧，质量就这样，这怎么吃？确定没有食品安全问题吗？我还没拆开呢里面就有一袋破了的
750319277,j***d,2020-10-01 13:52:26,1,写的地址不详细，有没有人打电话给我害我找地图找了好久。差评，差评差评。我现在还没有拿呢。虽然说是一块钱的东西。第1次买都不知道在哪里去拿这个东西。希望客服联系一下我。
-1806967776,j***L,2020-09-28 20:05:06,1,没有取件地址，没有取件信息，没有取件电话，不要了送你
-515993587,j***h,2020-09-25 23:32:10,1,评论区说是一包很多袋，到我手上就变成三袋，评论区里面说好像有十袋还是八袋，新人优惠会减掉分量，请写在介绍上啊！
-506772226,晨***梦,2020-09-21 17:18:42,1,有一袋漏气了。
-359056907,j***j,2020-09-21 13:30:04,1,货物没有收到就让我评价了。
-63222218,a***8,2020-09-19 15:52:00,1,不联系买 首先  非常咸  其次吃起来像塑料 然后世上怎么会有如此难吃的东西
2067415126,j***J,2020-09-17 16:41:46,1,难吃
1560829633,西***r,2020-09-16 17:47:09,1,不好吃没有单买的好吃，一打折就降低产品质量了吃的嗓子疼，薯片还很硬，单买那种一包一包还好吃这个优惠真坑
2032805597,雨***哈,2020-09-14 19:04:38,1,分开发货，很不满意，差评
264797986,j***5,2020-09-14 18:36:01,1,只有三包！不过很好吃?
573189070,j***K,2020-09-10 09:28:34,1,感觉受潮了一样，没有脆脆的感觉，吃起来口感很差。
-1433101959,j***b,2020-09-08 02:44:22,1,太咸了
659587397,丨梦想丶启航丨,2020-08-28 09:30:16,1,难吃。。超级难吃，，，
-1429642813,jd_183815cqz,2020-08-22 19:16:34,1,全都碎了，包装也坏了，这还怎么吃，差差差差差差差。。。。。。。。。。。。。。。。。。
-1520907405,j***6,2020-08-16 13:16:36,1,日期不对，是北京工厂出事时候生产的，15号乐事封厂，为啥为啥还有薯片出厂？有没有新冠病毒啊？
-1717596416,悟希,2020-08-11 23:31:29,1,19.9三包。  还是超值分享装。外面超市卖6元，贵点的小超市卖的6.5元一包。味道还是任意选。我就知道这个19.9三包的超值装。是超值再哪里了？是超值再大家不会算三六一十八这个算数题？垃圾商家和不加审核的京东。极差购物体验差评
-1631790989,昆***司,2020-07-20 20:25:50,1,购物体验十分差，作为企业用户，一单只能买三件必须分开买，必须出运费，京东垃圾了，买饮料还只能买两瓶，我这个企业用户**真是服了
567266019,b***j,2020-07-02 11:01:28,1,刚买完就发生不可预期的事件，第一时间封存起来，疫情期间希望早日恢复往常。
-951444294,j***b,2020-06-29 19:55:10,1,拿到货里面薯片都开包了
1057213973,q***8,2020-06-22 13:16:39,1,居然是北京产的，不敢吃了。北京百事已有人确诊。
-508538548,b***8,2020-06-04 16:58:06,1,未收到货，
